R_p 5[mm] "Plunger radius"
Len_p 48[mm] "Plunger length"
z0_p 20[mm] "Initial plunger position"
Tip_R_p 3[mm] "Tip radius of plunger"
Cut_angle 43[deg] "Cut angle of the plunger tip"
Guider_width 1.5[mm] "Width of the guider"
Thickness_core 4[mm] "Core thickness"
Height_Coil 40[mm] "Height of the coil"
Width_Coil 8[mm] "Width of the coil"
Height_blocker 10[mm] "Height of the blocker"
Height_core Height_Coil+2*Thickness_core "Height of the core"
gap 0.5[mm] "Airgap between plunger and guider"
dt 0.2[s] "Pulse length"
tau 0.01[s] "Rise/Decay time"
I0 4[A] "Input Current"
k 40[N/m] "Spring constant"
N_turn 200 "Number of turns in the coil"
Dia_wire 1[mm] "Diameter of the wire in the coil"
